1000,0.0,146.14,146.14,1.0000
1000,0.1,155.65,155.65,1.0000
1000,0.2,165.92,165.92,1.0000
1000,0.3,178.43,178.43,1.0000
1000,0.4,186.97,186.97,1.0000
1000,0.5,202.30,202.30,1.0000
1000,0.6,212.44,212.44,1.0000
1000,0.7,226.79,226.79,1.0000
1000,0.8,246.24,246.24,1.0000
1000,0.9,262.69,262.69,1.0000
1000,1.0,281.92,281.92,1.0000
2000,0.0,887.75,887.75,1.0000
2000,0.1,202.85,202.85,1.0000
2000,0.2,192.86,192.86,1.0000
2000,0.3,192.27,192.27,1.0000
2000,0.4,198.76,198.76,1.0000
2000,0.5,214.74,214.74,1.0000
2000,0.6,232.92,232.92,1.0000
2000,0.7,258.95,258.95,1.0000
2000,0.8,291.42,291.42,1.0000
2000,0.9,337.84,337.84,1.0000
2000,1.0,402.95,402.95,1.0000
3000,0.0,1192.52,4218.49,0.0848
3000,0.1,635.36,3646.77,0.2208
3000,0.2,488.42,3040.51,0.3637
3000,0.3,395.74,2007.35,0.6067
3000,0.4,236.02,236.02,1.0000
3000,0.5,242.07,242.07,1.0000
3000,0.6,270.43,270.43,1.0000
3000,0.7,357.65,357.65,1.0000
3000,0.8,1150.03,1150.03,1.0000
3000,0.9,569.52,3316.88,0.3010
3000,1.0,982.56,4051.02,0.1277
4000,0.0,2238.49,4432.35,0.0299
4000,0.1,693.77,3951.52,0.1441
4000,0.2,494.80,3506.78,0.2480
4000,0.3,447.64,2939.12,0.3851
4000,0.4,443.87,2429.38,0.5105
4000,0.5,376.41,784.50,0.9001
4000,0.6,624.26,1821.07,0.6924
4000,0.7,335.62,2781.73,0.4126
4000,0.8,390.96,3388.49,0.2705
4000,0.9,502.94,3913.05,0.1469
4000,1.0,1975.52,4429.71,0.0279
5000,0.0,3051.36,4486.14,0.0093
5000,0.1,566.10,4049.57,0.1145
5000,0.2,482.91,3602.18,0.2235
5000,0.3,456.60,3157.54,0.3320
5000,0.4,480.37,2656.64,0.4586
5000,0.5,727.00,3573.60,0.2454
5000,0.6,832.82,2786.96,0.4661
5000,0.7,310.06,3093.31,0.3357
5000,0.8,296.53,3604.77,0.2130
5000,0.9,323.98,4046.49,0.1086
5000,1.0,2891.93,4494.22,0.0036
